listing_id,City,n_chars,n_reviews_concatenated
1013375355573542658,Hawaii,5327,23
1013402113840724461,New York,14108,55
1013632155850220616,New York,12593,63
1013651311908564737,New York,10117,41
1013674382844638552,Hawaii,1598,5
1013674864835064998,New York,13461,47
1013682277157286736,Nashville,20430,72
1013709156917167615,New York,15237,66
1013711694830197336,Hawaii,830,2
1013719008616614306,New York,5314,17
1013744567172053324,Nashville,17943,53
1013745399413953045,New York,19441,71
1013753379249495952,Nashville,12962,57
1013756338093524354,New York,2163,11
1013762118787602482,Los Angeles,817,3
1013790890844383633,Hawaii,2560,6
1013814395680935624,New York,83,1
1013814472023496694,New York,143,1
1013819513547666828,Nashville,4202,9
1013825872145151248,Hawaii,874,3
1013831967708299588,Hawaii,12486,52
1013841170668347236,Hawaii,6616,26
1013873814949483955,Los Angeles,22449,68
1013875761282776409,Los Angeles,1072,2
1013890767968837606,Nashville,7144,29
1013892657464964754,Los Angeles,7063,30
1013896771741699739,New York,181,1
1013899602148598791,Los Angeles,532,2
10139028,Hawaii,40788,166
1013921402919009901,Los Angeles,7397,29
1013933134833891698,New York,351,1
1013933384020647976,New York,393,2
1013946326187929869,New York,576,4
1013947795524141187,New York,1208,3
1013949597532297600,New York,1658,5
1013950908788847919,New York,1639,4
1013964226035636387,Los Angeles,120,1
1013967312914264805,Los Angeles,11291,60
1013975123125276355,Hawaii,16841,50
1013995231451222320,Los Angeles,8022,36
1013998368830382131,Los Angeles,13347,57
1014025560451265350,Hawaii,229,2
1014031096805618963,Los Angeles,2032,10
1014033963498005383,Los Angeles,25277,99
1014088,Los Angeles,19330,62
1014147076569713756,Los Angeles,372,1
1014157,Hawaii,52241,76
10142056,New York,4536,17
101424,Los Angeles,7257,15
10142499,New York,35071,130
1014296846467270142,New York,12442,53
1014319983262481470,New York,11225,59
1014367358598054830,New York,12390,55
1014387472249016247,Los Angeles,26675,72
1014408029120671763,New York,476,3
1014413613902157897,Hawaii,573,3
1014419760379928931,New York,14955,56
1014438256711644057,New York,1090,5
1014447764866248734,Nashville,6264,33
1014450273016698963,Los Angeles,36,1
1014451242059786811,New York,575,4
10144595,Hawaii,13825,40
1014504368432582155,Los Angeles,8172,34
1014516058142314532,Los Angeles,5521,8
1014547152686932107,Los Angeles,14918,78
1014565361051178398,Hawaii,21700,86
1014572798732863784,Hawaii,722,1
1014582318016510329,Hawaii,27577,76
1014594761307422363,Los Angeles,1591,3
1014598971591002734,Hawaii,7197,14
1014622009366959249,Hawaii,633,2
1014629402884066602,San Francisco,1083,5
1014630662107949006,Hawaii,6339,20
1014633249545476218,Los Angeles,9301,51
1014637467272403256,New York,18198,68
1014646546245925366,Hawaii,57,1
1014669473727804930,Los Angeles,24786,105
1014686068058824936,Hawaii,29474,71
1014729191484829933,New York,12576,52
1014730631596052417,Hawaii,15149,59
1014731742042251533,Hawaii,3137,18
1014731761727464133,Hawaii,309,1
1014745397888586678,Los Angeles,5341,19
1014758330351097997,Los Angeles,18945,78
1014762144431371619,New York,10499,54
1014768079147470797,Los Angeles,15643,62
1014783604555577595,Los Angeles,32,1
1014798772769203329,San Francisco,3770,17
